grid_size,grid_res,years,mu,p_spread,rho,n_repeats,initial_flammable_fraction,initial_num_flammable_clusters,burned_fraction,num_fires,median_fire_size_ha,max_fire_size_ha,sd_fire_size_ha
100,500,1,0.0004,0.7,0.3,3,0.3067,1317,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.8,0.3,3,0.3034,1324,0.001,1,250.0,250.0,0.0
100,500,1,0.0004,0.8,0.3,3,0.3014,1271,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.8,0.3,3,0.3018,1322,0.0006,1,150.0,150.0,0.0
100,500,1,0.0004,0.9,0.3,3,0.3005,1320,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.9,0.3,3,0.3016,1302,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.9,0.3,3,0.2996,1266,0.0003,1,75.0,75.0,0.0
100,500,1,0.0004,1,0.3,3,0.2976,1282,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,1,0.3,3,0.2987,1307,0.0003,1,75.0,75.0,0.0
100,500,1,0.0004,1,0.3,3,0.2958,1296,0.0003,1,75.0,75.0,0.0
100,500,1,0.002,0.3,0.3,3,0.2997,1316,0.0007,5,25.0,50.0,12.24744871391589
100,500,1,0.002,0.3,0.3,3,0.2974,1320,0.0008,5,25.0,75.0,20.0
100,500,1,0.002,0.3,0.3,3,0.2991,1313,0.0008,5,25.0,100.0,30.0
100,500,1,0.002,0.4,0.3,3,0.3001,1285,0.0007,5,25.0,50.0,12.24744871391589
100,500,1,0.002,0.4,0.3,3,0.3016,1327,0.0007,5,25.0,50.0,12.24744871391589
100,500,1,0.002,0.4,0.3,3,0.3008,1304,0.0007,5,25.0,50.0,12.24744871391589
100,500,1,0.002,0.5,0.3,3,0.3041,1312,0.0006,5,25.0,50.0,10.0
100,500,1,0.002,0.5,0.3,3,0.2984,1285,0.0014,5,50.0,150.0,48.47679857416329
100,500,1,0.002,0.5,0.3,3,0.3075,1313,0.0011,5,75.0,75.0,24.49489742783178
